timestamp,market,slug,side,entry_price,exit_price,entry_second,exit_second,reason,btc_at_entry,btc_at_exit,btc_ret_at_entry,btc_ret_at_exit,pnl_gross,pnl_net,fees,balance
2026-02-11T16:11:08.990842+00:00,"Bitcoin Up or Down - February 11, 11:00AM-11:15AM ET",btc-updown-15m-1770825600,UP,0.5800,0.9700,319,669,TAKE_PROFIT,66579.05,66892.51,0.001073,0.005786,13.45,12.65,0.80,66.10
2026-02-11T16:30:20.056096+00:00,"Bitcoin Up or Down - February 11, 11:15AM-11:30AM ET",btc-updown-15m-1770826500,UP,0.4200,0.0000,371,920,RESOLUTION,67105.33,66597.54,0.000564,-0.007007,-20.00,-20.80,0.80,45.30
2026-02-11T16:45:03.211108+00:00,"Bitcoin Up or Down - February 11, 11:30AM-11:45AM ET",btc-updown-15m-1770827400,UP,0.5000,0.0000,321,903,RESOLUTION,66643.08,66242.01,0.000606,-0.005416,-20.00,-20.80,0.80,24.50
2026-02-11T16:59:55.982285+00:00,"Bitcoin Up or Down - February 11, 11:45AM-12:00PM ET",btc-updown-15m-1770828300,DOWN,0.5800,0.5900,362,896,RESOLUTION,66085.32,66048.41,-0.002365,-0.002923,0.34,-0.46,0.80,24.04
2026-02-11T17:15:03.728663+00:00,"Bitcoin Up or Down - February 11, 12:00PM-12:15PM ET",btc-updown-15m-1770829200,DOWN,0.5300,0.0000,326,904,RESOLUTION,65988.24,66270.00,-0.000745,0.003521,-20.00,-20.80,0.80,3.24
2026-02-11T17:25:48.438294+00:00,"Bitcoin Up or Down - February 11, 12:15PM-12:30PM ET",btc-updown-15m-1770830100,UP,0.5800,0.9700,301,648,TAKE_PROFIT,66319.09,66623.33,0.000741,0.005332,13.45,12.65,0.80,15.89
2026-02-11T17:59:55.639600+00:00,"Bitcoin Up or Down - February 11, 12:45PM-1:00PM ET",btc-updown-15m-1770831900,UP,0.5700,0.0300,311,896,RESOLUTION,66645.83,66514.38,0.000622,-0.001351,-18.95,-19.75,0.80,-3.85
2026-02-11T18:44:56.221641+00:00,"Bitcoin Up or Down - February 11, 1:30PM-1:45PM ET",btc-updown-15m-1770834600,DOWN,0.5800,0.0200,316,896,RESOLUTION,66868.00,67023.01,-0.000747,0.001570,-19.31,-20.11,0.80,-23.96
2026-02-11T18:56:03.914581+00:00,"Bitcoin Up or Down - February 11, 1:45PM-2:00PM ET",btc-updown-15m-1770835500,UP,0.6000,0.9700,351,664,TAKE_PROFIT,67092.55,67284.00,0.001134,0.003991,12.33,11.53,0.80,-12.43
2026-02-11T19:15:18.911712+00:00,"Bitcoin Up or Down - February 11, 2:00PM-2:15PM ET",btc-updown-15m-1770836400,DOWN,0.6000,0.0000,306,919,RESOLUTION,67236.50,67643.97,-0.000577,0.005479,-20.00,-20.80,0.80,-33.23
